Sapflux_ID,Tree_ID,Species_Code,Grid_Square
C7,1439,ACRU,B3
C10,1387,ACRU,D4
C11,1395,ACRU,F2
C16,1390,FAGR,E4
C18,1452,FAGR,NA
C3,1425,LITU,C5
C6,1411,LITU,B7
C9,1456,ACRU,NA
C13,1407,FAGR,B8
C14,1412,FAGR,B7
C15,1432,FAGR,A4
CD14,1412,FAGR,B7
C1,1384,LITU,F5
C2,1385,LITU,F5
C4,1325,LITU,H4
C5,1330,LITU,I3
C12,1328,ACRU,G3
C17,1380,FAGR,F6
C20,1319,ACRU,G6
CD12,1328,ACRU,G3
CD16,1390,FAGR,E4
F1,1578,LITU,H5
F4,1561,LITU,E2
F5,1591,LITU,G3
F9,1592,ACRU,G3
F12,1563,ACRU,F2
F16,1596,FAGR,H4
FD5,1591,LITU,G3
FD17,1580,FAGR,I6
F20,1573,ACRU,I7
F3,1552,LITU,D5
F6,1551,LITU,D6
F7,1520,ACRU,B5
F8,1521,ACRU,B4
F13,1519,FAGR,D6
F15,1516,FAGR,A6
FD7,1520,ACRU,B5
F19,1559,ACRU,D2
F2,1576,LITU,G6
F10,1546,ACRU,F8
F11,1548,ACRU,F6
F14,1543,FAGR,D7
F17,1580,FAGR,I6
F18,1569,FAGR,H8
S2,1790,LITU,C5
S3,1783,LITU,E5
S13,1848,FAGR,A2
S15,1829,FAGR,E4
S16,1839,FAGR,C2
S17,1868,FAGR,D1
SD16,1839,FAGR,C2
S1,1771,LITU,F7
S4,1781,LITU,E6
S7,1733,ACRU,D7
S8,1788,ACRU,C6
S11,1772,ACRU,F6
S18,1780,FAGR,E5
S20,1749,ACRU,B8
SD3,1783,LITU,E5
S5,1778,LITU,F5
S6,1773,LITU,G6
S9,1865,ACRU,F2
S10,1775,ACRU,G5
S12,1776,ACRU,F4
S14,1851,FAGR,I2
SD12,1776,ACRU,F4
S19,1835,ACRU,D2